"License Number","Business Name","DBA/Trade Name","Business Unique ID","Business Category","License Type","License Status","Initial Issuance Date","Expiration Date","Details","Contact Phone","Address Type","Building Number","Street1","Street2","Street3","Unit Type","Apt/Suite","City","State","ZIP Code","Borough","Community Board","Council District","BIN","BBL","NTA","Census Block (2010)","Census Tract (2010)","Latitude","Longitude"
"1397760-DCA","MCMANUS, JASON","JASON MCMANUS CARRIAGES","BA-1461189-2022","Horse Drawn Cab Owner","Premises","Surrendered","06/23/2011","03/31/2026",,"2125025144","Complete Address","538","W 38TH ST",,,,,"NEW YORK","NY","10018","Manhattan","104","3","1012516","1007090060","MN13","1004","99","40.75792","-73.999231"
"2028503-DCA","BAYA INC",,"BA-1126889-2022","Storage Warehouse","Premises","Surrendered","09/17/2015","04/01/2025",,"7185235000","Complete Address","14805","ARCHER AVE",,,,,"JAMAICA","NY","11435","Queens","412","27","4213987","4099960016","QN61","1001","212","40.70099","-73.805909"
"1341544-DCA","LIFE QUALITY MOTOR SALES, INC.","BMW OF BROOKLYN PRE-OWNED","BA-1320989-2022","Secondhand Dealer - Auto","Premises","Failed to Renew","12/28/2009","07/31/2025",,"7184390055","Complete Address","9227","4TH AVE",,,,,"BROOKLYN","NY","11209","Brooklyn","310","47","3329013","3061080015","BK31","2004","58","40.61773","-74.030412"
"2115233-DCA","GAFOROV MUKHAMMAD",,"BA-1603065-2023","Pedicab Driver","Individual","Expired","07/20/2023","04/30/2024",,,,,,,,,,"BROOKLYN","NY","11210",,,,,,,,,,
"2079114-DCA","MOBILE CITY DISTRICT 1 LLC","MOBILE DISTRICT 1 LLC","BA-1415918-2022","Electronics Store","Premises","Expired","10/16/2018","12/31/2022",,"718-412-0033","Complete Address","1271","FULTON ST",,,,,"BROOKLYN","NY","11216","Brooklyn","303","36","3053221","3018480030","BK75","4003","245","40.68045","-73.950455"
"1384736-DCA","J. CAPPIELLO LANDSCAPING INC.",,"BA-1328636-2022","Home Improvement Contractor","Premises","Expired","03/14/2011","02/28/2023",,"6315437706","Complete Address","29","ESSEX DR",,,,,"NORTHPORT","NY","11768","Outside NYC",,,,,,,,,
"2127207-DCWP","TECNOZONE USA CORPORATION",,"BA-1723205-2025","Electronics Store","Premises","Active","03/14/2025","12/31/2026",,"7185031676","Complete Address","2094","AMSTERDAM AVE",,,,,"NEW YORK","NY","10032","Manhattan","112","10","1062905","1021210053","MN36","3001","24301","40.83699","-73.939027"
"2070939-DCA","JAJ AUTOMOTIVE CORP","LIBERTY AUTO PARTS","BA-1316027-2022","Secondhand Dealer - Auto","Premises","Failed to Renew","05/10/2018","07/31/2025",,"7186588500","Complete Address","9709","150TH ST",,,,,"JAMAICA","NY","11435","Queens","412","27","4215631","4101070063","QN61","2005","208","40.69836","-73.802515"
"2050238-DCA","BEST WAY CONSTRUCTION, CORP.",,"BA-1107061-2022","Home Improvement Contractor","Premises","Expired","03/28/2017","02/28/2025",,"7183326763","Complete Address","47","BRIGHTON 3RD CT",,,,,"BROOKLYN","NY","11235","Brooklyn","313","48","3244381","3086630357","BK19","2000","364","40.58019","-73.965203"
"1183144-DCA","1976 J.J. DELI GROCERY CORP.",,"BA-1112036-2022","Tobacco Retail Dealer","Premises","Surrendered","10/20/2004","12/31/2022",,"718-901-1043","Complete Address","1976","ARTHUR AVE",,,,,"BRONX","NY","10457","Bronx","206","15","2011976","2030680055","BX17","3003","373","40.84680","-73.893125"
"2121451-DCWP","FORTUNE PLUS TRADING CORP",,"BA-1201429-2022","Stoop Line Stand","Premises","Active","05/16/2024","03/31/2026","Product Category: Fruits, vegetables, soft drinks; 4 foot stands: 2; 5 foot stands: 0; 5-10 foot stands: 0","9173651226","Complete Address","4510","8TH AVE",,,,,"BROOKLYN","NY","11220","Brooklyn","307","38","3011737","3007500042","BK34","3001","94","40.64380","-74.000933"
"1474236-DCA","THE RECEIVABLE MANAGEMENT SERVICES CORPORATION",,"BA-1525701-2022","Debt Collection Agency","Premises","Expired","05/29/2014","01/31/2023",,"888-807-2576","Complete Address","1250","E DIEHL RD",,,,,"NAPERVILLE","IL","60563",,,,,,,,,,
"2127435-DCWP","BENEA CONNECT CORP.",,"BA-1725071-2025","Secondhand Dealer - General","Premises","Active","03/26/2025","07/31/2027",,"7184270602","Complete Address","1807","KINGS HWY",,,,,"BROOKLYN","NY","11229","Brooklyn","315","48","3182500","3067810073","BK44","1000","552","40.61005","-73.955308"
"1266546-DCA","KING OF NY MASONRY, INC.",,"BA-1316511-2022","Home Improvement Contractor","Premises","Active","07/06/2012","02/28/2027",,"7187727748","Complete Address","2","BERGLUND AVENUE",,,,,"STATEN ISLAND","NY","10314","Staten Island","502","50","5037003","5022330090","SI05","1002","29103","40.60995","-74.166469"
"2124282-DCWP","SPECTRUM NEW YORK METRO LLC","SPECTRUM","BA-1694784-2024","Electronics Store","Premises","Active","09/16/2024","12/31/2026",,"3143949867","Complete Address","396","AVE OF THE AMERICAS",,,,,"NEW YORK","NY","10011","Manhattan","102","2","1008936","1005530009","MN23","5001","63","40.73347","-73.999646"
"2043771-1-DCA","AMAL DELI CORP",,"BA-1129716-2022","Tobacco Retail Dealer","Premises","Expired","09/16/2016","12/31/2023",,"718-588-0598","Complete Address","909","SHERIDAN AVENUE",,,,,"BRONX","NY","10451","Bronx","204","16","2002812","2024610035","BX14","1000","18301","40.82748","-73.920553"
"2097353-DCA","Mr. Air NYC Corp",,"BA-1574515-2023","Home Improvement Contractor","Premises","Active","12/30/2020","02/28/2027",,"2123934822","Complete Address","78","14TH ST",,,,,"BROOKLYN","NY","11215","Brooklyn","306","38","3396004","3010390016","BK37","3000","117","40.66916","-73.995025"
"0884878-DCA","HALLOCK, FRED","FRED HALLOCK FOR QUALITY ROOFING","BA-1262195-2022","Home Improvement Contractor","Premises","Expired","11/27/2002","02/28/2025",,"7188364263","Complete Address","555","OVINGTON AVE",,,"APT","41D","BROOKLYN","NY","11209","Brooklyn","310","47","3145818","3058740063","BK31","2000","130","40.63189","-74.019848"
"1348334-DCA","PAWAR BROS CORP.",,"BA-1458857-2022","Tow Truck Company","Premises","Active","03/30/2012","04/30/2026","DARP/ROTOW Enrollment: DARP","7187790122","Complete Address","7435","GRAND AVE",,,,,"ELMHURST","NY","11373","Queens","405","30","4058130","4024920078","QN29","1004","499","40.73029","-73.887139"
"2109012-DCA","Dwalsh Contracting LLC",,"BA-1268721-2022","Home Improvement Contractor","Premises","Active","09/22/2022","02/28/2027",,"732-397-4851","Complete Address","7","KRAVCHENOK ST",,,,,"PARLIN","NJ","08859",,,,,,,,,,
"2130561-1-DCWP","L A Central Gourmet Deli & Juice Bar INC",,"BA-1730918-2025","Tobacco Retail Dealer","Premises","Active","08/13/2025","12/31/2026",,"3476225855","Complete Address","556","BERGEN AVE",,,,,"BRONX","NY","10455","Bronx","201","17","2129056","2022947502","BX34","2014","71","40.81594","-73.916354"
"2126357-DCWP","ALWAYSREADY876L.L.C",,"BA-1687737-2024","Secondhand Dealer - General","Premises","Failed to Renew","01/16/2025","07/31/2025",,"9102093632","Complete Address","315","EMPIRE BLVD",,,,,"BROOKLYN","NY","11225","Brooklyn","309","35","3034526","3013080047","BK63","4001","321","40.66385","-73.951934"
"0756539-DCA","JEFFREY DRUCK",,"BA-1312164-2022","Locksmith","Individual","Expired","06/27/2003","05/31/2025",,,,,,,,,,"NORTH BERGEN","NJ","07047",,,,,,,,,,
"2074609-1-DCA","JASPERS DELI INC.",,"BA-1314262-2022","Electronic Cigarette Dealer","Premises","Expired","06/27/2018","11/30/2023",,"646-296-1825","Complete Address","434","W 238TH ST",,,,,"BRONX","NY","10463","Bronx","208","11","2083978","2057702002","BX29","2000","295","40.88713","-73.904406"
"2110230-1-DCA","HANUMAN CONVENIENCE INC",,"BA-1304892-2022","Electronic Cigarette Dealer","Premises","Active","12/13/2022","11/30/2027",,"6463318591","Complete Address","4408","31ST AVE",,,,,"ASTORIA","NY","11103","Queens","401","22","4012525","4007100112","QN70","2003","153","40.75973","-73.913736"
"2000974-DCA","C KELLY INC.",,"BA-1220851-2022","Home Improvement Contractor","Premises","Expired","11/21/2013","02/28/2023",,"9147603582","Complete Address","941","MCLEAN AVE",,,"STE","156","YONKERS","NY","10704",,,,,,,,,,
"1444189-DCA","THE TURBOCHYLL COMPANY, INC.","TURBOCHYL","BA-1548171-2022","Home Improvement Contractor","Premises","Expired","09/06/2012","02/28/2023",,"5162236494","Complete Address","83","HAMPTON PL",,,,,"FREEPORT","NY","11520","Outside NYC",,,,,,,,,
"2095653-DCA","ECOATM LLC","ecoATM","BA-1182583-2022","Secondhand Dealer - General","Premises","Failed to Renew","04/10/2020","07/31/2025",,"8587667249","Complete Address","1878","FULTON ST",,,,,"BROOKLYN","NY","11233","Brooklyn","303","41","3048040","3017040007","BK61","1000","299","40.67901","-73.924386"
"1366613-DCA","DIRECT LAUNDRY SYSTEM INC.",,"BA-1220507-2022","Electronic & Home Appliance Service Dealer","Premises","Active","08/16/2010","06/30/2026",,"7184681119","Complete Address","10516","177TH ST",,,,,"JAMAICA","NY","11433","Queens","412","27","4218126","4102350344","QN01","3009","440","40.70338","-73.781189"
"1054776-DCA","NAMDOR, INC.","GRISTEDE'S STORE","BA-1463131-2022","Tobacco Retail Dealer","Premises","Active","01/22/2001","12/31/2026",,"2122293896","Complete Address","315","S END AVE",,,,,"NEW YORK","NY","10280","Manhattan","101","1","1083373","1000160100","MN25","1001","31704","40.71040","-74.016264"
"1124600-DCA","MINCH CONSTRUCTION CORP.",,"BA-1388726-2022","Home Improvement Contractor","Premises","Expired","10/02/2002","02/28/2023",,"7183283519","Complete Address","1704","BOONE AVE",,,,,"BRONX","NY","10460","Bronx","203","17","2094605","2030150017","BX75","2000","161","40.83498","-73.883922"
"1394695-DCA","PORTFOLIO RECOVERY ASSOCIATES, L.L.C.",,"BA-1408615-2022","Debt Collection Agency","Premises","Surrendered","01/30/2013","01/31/2023",,"757-431-7933","Complete Address","600","BEACON PKWY",,,"STE","700","BIRMINGHAM","AL","35209",,,,,,,,,,
"2011746-DCA","CHEN, SHUN",,"BA-1164854-2022","Home Improvement Contractor","Premises","Expired","08/07/2014","02/28/2025",,"7183097722","Complete Address","6747","165TH ST",,,,,"FRESH MEADOWS","NY","11365","Queens","408","24","4149478","4069190011","QN38","3008","1223","40.73456","-73.803859"
"2079364-1-DCA","MILK N' THINGS INC.",,"BA-1402613-2022","Tobacco Retail Dealer","Premises","Expired","10/23/2018","12/31/2023",,"7184485750","Complete Address","183A","MC CLEAN AVENUE",,,"UNIT",,"STATEN ISLAND","NY","10305","Staten Island","502","50","5107491","5031000023","SI14","1030","2002","40.59749","-74.068155"
"2055972-DCA","JEREMEY GERMAIN",,"BA-1328442-2022","Tow Truck Driver","Individual","Active","07/19/2017","10/31/2026",,,,,,,,,,"BRONX","NY","10468",,,,,,,,,,
"2099047-DCA","DANIEL GEORGI",,"BA-1225568-2022","Locksmith","Individual","Expired","06/02/2021","05/31/2025",,,,,,,,,,"EAST NORTHPORT","NY","11731",,,,,,,,,,
"2070300-DCA","WILLIAM CHEUNG",,"BA-1523084-2022","General Vendor","Individual","Ready for Renewal","05/01/2018","09/30/2025","Vendor Type: Citywide Specialized Vendor (Yellow)",,,,,,,,,"NEW YORK","NY","10038",,,,,,,,,,
"2122524-DCWP","Tactical Beards Gun Shop LLC",,"BA-1692453-2024","Secondhand Dealer - General","Premises","Active","06/27/2024","07/31/2027",,"7189869358","Complete Address","451","NORTHFIELD AVE",,,,,"STATEN ISLAND","NY","10303","Staten Island","501","49","5169471","5012700008","SI12","1014","323","40.62833","-74.168655"
"2125706-DCWP","MP COURT SQUARE PARKING LLC",,"BA-1716329-2024","Garage & Parking Lot","Premises","Active","12/10/2024","03/31/2027","Vehicle Capacity: 200; Bicycle Capacity: 20","2124903460","Complete Address","2728","THOMSON AVE",,,,,"LONG ISLAND CITY","NY","11101","Queens","402","26","4000697","4000827501","QN31","1064","19","40.74620","-73.942029"
"2113921-DCA","JAMAICA JEWELRY EXPRESS CORPORATION",,"BA-1596539-2023","Secondhand Dealer - General","Premises","Active","05/31/2023","07/31/2027",,,"Complete Address","16512","JAMAICA AVE",,,,,"JAMAICA","NY","11432","Queens","412","27","4216216","4101550004","QN61","1004","444","40.70554","-73.794667"
"2107117-DCA","DONNA PURYEAR",,"BA-1262876-2022","General Vendor","Individual","Active","06/29/2022","09/30/2027","Vendor Type: General Vendor (White)",,,,,,,,,"STATEN ISLAND","NY","10304",,,,,,,,,,
"0881340-DCA","KIM, KI CHUL",,"BA-1310166-2022","Stoop Line Stand","Premises","Active","05/27/1998","03/31/2026","Product Category: Fruits, Vegetables, Flowers, Soft Drinks, Confectionary and Ice Cream; 4 foot stands: 1; 5 foot stands: 0; 5-10 foot stands: 0","2127871885","Complete Address","2216","BROADWAY",,,,,"NEW YORK","NY","10024","Manhattan","107","6","1079387","1011700012","MN12","5001","167","40.78369","-73.980085"
"2105133-DCA","NEW FIVE STAR CORP",,"BA-1456379-2022","Home Improvement Contractor","Premises","Expired","04/07/2022","02/28/2025",,"9175199967","Complete Address","14","CORSO CT",,,"APT","1","BROOKLYN","NY","11223","Brooklyn","315","44","3193426","3071460011","BK26","1011","398","40.59476","-73.974802"
"2007285-DCA","Techtronics Mobile Solutions LLC",,"BA-1649111-2023","Electronic & Home Appliance Service Dealer","Premises","Expired","05/01/2014","06/30/2024",,"2122032135","Complete Address","248","W 35TH ST",,,,,"NEW YORK","NY","10001","Manhattan","105","3","1014416","1007840068","MN17","1005","109","40.75224","-73.991540"
"2002914-DCA","JMI CONTRACTING CORP",,"BA-1364158-2022","Home Improvement Contractor","Premises","Expired","01/27/2014","02/28/2023",,"917-651-3179","Complete Address","39","FOX RD",,,,,"HOPEWELL JUNCTION","NY","12533","Outside NYC",,,,,,,,,
"1382957-DCA","FELIPE REYES",,"BA-1188538-2022","Tow Truck Driver","Individual","Active","02/17/2011","10/31/2026",,,,,,,,,,"STATEN ISLAND","NY","10310",,,,,,,,,,
"2002420-DCA","DOMOVOY LLC",,"BA-1595419-2023","Home Improvement Contractor","Premises","Active","01/09/2014","02/28/2027",,"917-403-8214","Complete Address","4720","2ND AVE",,,,,"BROOKLYN","NY","11232","Brooklyn","307","38","3346826","3007620050","BK32","1033","18","40.65061","-74.015359"
"2031636-DCA","UNIQUE AUTO REPAIR NY INC",,"BA-1479827-2022","Secondhand Dealer - General","Premises","Active","12/23/2015","07/31/2027",,"7184542026","Complete Address","18433","JAMAICA AVE",,,,,"JAMAICA","NY","11423","Queens","412","27","4212064","4099060038","QN61","2001","470","40.70946","-73.774766"
"1326032-DCA","KARDI TANUJAYA",,"BA-1332242-2022","Sightseeing Guide","Individual","Active","02/07/2011","03/31/2026",,,,,,,,,,"WOODSIDE","NY","11377",,,,,,,,,,
"1473367-DCA","ELITE RENOVATION & BUILDERS CORPORATION",,"BA-1210790-2022","Home Improvement Contractor","Premises","Active","09/11/2013","02/28/2027",,"7186005520","Complete Address","31","BRIGHTON 8TH PL",,,,,"BROOKLYN","NY","11235","Brooklyn","313","48","3244559","3086680842","BK19","1000","364","40.58085","-73.960385"
"2029614-DCA","EVELYN WILLIAMS",,"BA-1229956-2022","General Vendor","Individual","Expired","10/19/2015","09/30/2023","Vendor Type: Citywide Specialized Vendor (Yellow)",,,,,,,,,"GARNER","NC","27529",,,,,,,,,,
"1068753-DCA","ANDY'S 418 COLUMBUS AVENUE DELI, INC.",,"BA-1118431-2022","Tobacco Retail Dealer","Premises","Expired","12/27/2000","12/31/2023",,"212-799-3355","Complete Address","418","COLUMBUS AVE",,,,,"NEW YORK","NY","10024","Manhattan","107","6","1031975","1012110029","MN12","5000","165","40.78273","-73.974926"
"2101594-DCA","F & W AUTO REPAIRS & FLAT FIX CORP",,"BA-1201730-2022","Secondhand Dealer - General","Premises","Active","09/20/2021","07/31/2027",,"6468360550","Complete Address","3018","ATLANTIC AVENUE",,,,,"BROOKLYN","NY","11208","Brooklyn","305","37","3256547","3039710024","BK82","2005","1168","40.67839","-73.883124"
"1270301-DCA","LUFRANO BUILDING, INC.",,"BA-1316931-2022","Home Improvement Contractor","Premises","Active","10/12/2007","02/28/2027",,"7189840824","Complete Address","22","RETFORD AVE",,,,,"STATEN ISLAND","NY","10312","Staten Island","503","51","5068756","5053240144","SI01","1006","15602","40.54155","-74.164838"
"0699505-DCA","344 WEST 45TH ST. CORP.",,"BA-1115091-2022","Garage & Parking Lot","Premises","Active","03/12/1997","03/31/2027","Vehicle Capacity: 40; Bicycle Capacity: 0","2122658189","Complete Address","344","WEST   45 STREET",,,,,"NEW YORK","NY","10036","Manhattan","104","3","1090936","1010350052","MN15","4000","121","40.75971","-73.989716"
"2100944-DCA","Liberty Farms NY Inc",,"BA-1310737-2022","Stoop Line Stand","Premises","Expired","08/19/2021","03/31/2024","Product Category: Fruits, Vegetables, Flowers, Soft Drinks, Confectionary and Ice Cream; 4 foot stands: 0; 5 foot stands: 5; 5-10 foot stands: 0","7183224523","Complete Address","12408","LIBERTY AVE",,,,,"S RICHMOND HL","NY","11419","Queens","410","28","4204511","4095780005","QN55","2001","15802","40.68785","-73.819988"
"2093230-DCA","MARLETTE SERVICING LLC","Best Egg","BA-1441927-2022","Debt Collection Agency","Premises","Active","12/27/2019","01/31/2027",,"(302) 543-2531","Complete Address","3419","SILVERSIDE RD",,,,,"WILMINGTON","DE","19810",,,,,,,,,,
"1470103-DCA","PRECIOUS RESTORATION & MASONARY CORP.",,"BA-1425237-2022","Home Improvement Contractor","Premises","Expired","07/25/2013","02/28/2023",,"9179711816","Complete Address","3823","18TH AVE",,,"APT","1","BROOKLYN","NY","11218","Brooklyn","314","40","3127734","3054170028","BK42","4000","482","40.63389","-73.970500"
"2068099-DCA","METRO CONTRACTING SERVICES INC.",,"BA-1437839-2022","Home Improvement Contractor","Premises","Expired","03/20/2018","02/28/2025",,"347-499-1593","Complete Address","13311","95TH AVE",,,,,"SOUTH RICHMOND HILL","NY","11419","Queens","409","29","4538965","4094490039","QN54","1002","152","40.69570","-73.815524"
"1235840-DCA","BROWN, MARK",,"BA-1128569-2022","Tobacco Retail Dealer","Premises","Expired","06/06/2007","12/31/2022",,"713-321-8839","Cross Street (Intersection)","N/E/C","EAST 8 STREET",,,,,"NEW YORK","NY","10003","Manhattan","102","2",,,,,"59","40.73160","-73.994790"
"1404534-DCA","RUGOVA GROUP LLC",,"BA-1574720-2023","Home Improvement Contractor","Premises","Expired","08/17/2011","02/28/2025",,"9176820995","Complete Address","3265","JOHNSON AVE",,,"STE","205","BRONX","NY","10463","Bronx","208","11","2084103","2057870163","BX29","2000","297","40.88477","-73.910297"
"1352441-DCA","133 FOOD CORP.",,"BA-1111148-2022","Tobacco Retail Dealer","Premises","Expired","04/30/2010","12/31/2023",,"718-799-4608","Complete Address","133","LAFAYETTE AVE",,,,,"BROOKLYN","NY","11238","Brooklyn","302","35","3059045","3021020069","BK68","1000","181","40.68745","-73.972470"
"2095808-DCA","MUSLI'S MASONRY INC.",,"BA-1398510-2022","Home Improvement Contractor","Premises","Active","06/10/2020","02/28/2027",,"7187208245","Complete Address","210","BISHOP ST",,,,,"STATEN ISLAND","NY","10306","Staten Island","503","50","5059037","5043150012","SI25","4000","138","40.57433","-74.128566"
"2077231-1-DCA","ROYAL 1 DELI CORP",,"BA-1532473-2022","Tobacco Retail Dealer","Premises","Expired","08/20/2018","12/31/2023",,"347-596-9978","Complete Address","42","REID AVE",,,,,"STATEN ISLAND","NY","10305","Staten Island","502","50","5050128","5033910027","SI14","3011","64","40.59379","-74.080454"
"2130465-DCWP","CHINO'S AUTO REPAIR SERVICES CORP.",,"BA-1741903-2025","Secondhand Dealer - General","Premises","Active","08/11/2025","07/31/2027",,"6463798943","Complete Address","183","TARGEE ST",,,,,"STATEN ISLAND","NY","10304","Staten Island","501","49","5114480","5005630054","SI37","1000","29","40.62266","-74.083940"
"2008090-DCA","ANDRES MARIN","GUADALUPANA DELI GROCERY STORE","BA-1106793-2022","Stoop Line Stand","Premises","Active","05/14/2014","03/31/2026","Product Category: Fruits, Vegetables, Flowers, Soft Drinks, Confectionary and Ice Cream; 4 foot stands: 2; 5 foot stands: 0; 5-10 foot stands: 0","7188052116","Complete Address","8425","JAMAICA AVE",,,,,"WOODHAVEN","NY","11421","Queens","409","32","4181523","4088530115","QN53","2005","12","40.69239","-73.860320"
"0841299-DCA","OMAR K THIAM",,"BA-1344800-2022","General Vendor","Individual","Ready for Renewal","09/29/2006","09/30/2025","Vendor Type: General Vendor (White)",,,,,,,,,"NEW YORK","NY","10029",,,,,,,,,,
"2097109-DCA","DCM Services, LLC",,"BA-1209658-2022","Debt Collection Agency","Premises","Surrendered","12/02/2020","01/31/2023",,"6122438620","Complete Address","8009","34TH AVE",,,"STE","400","BLOOMINGTON","MN","55425",,,,,,,,,,
"2109543-DCA","EXCELSIOR CONSTRUCTION LLC",,"BA-1246658-2022","Home Improvement Contractor","Premises","Expired","10/26/2022","02/28/2025",,,"Complete Address","173","W 107TH ST",,,"APT","15A","NEW YORK","NY","10025","Manhattan","107","7","1055986","1018627501","MN09","6000","193","40.80072","-73.964257"
"2048724-DCA","VINCENZO SALMERI",,"BA-1536967-2022","Home Improvement Contractor","Premises","Active","02/24/2017","02/28/2027",,,"Complete Address","440","HAROLD AVE",,,,,"STATEN ISLAND","NY","10312","Staten Island","503","51","5125505","5063560068","SI01","2013","176","40.52883","-74.163170"
"2098098-DCA","Martinez Construction Management, LLC",,"BA-1583535-2023","Home Improvement Contractor","Premises","Active","03/17/2021","02/28/2027",,"9174539171","Complete Address","250","E 73RD ST",,,"APT","9E","NEW YORK","NY","10021","Manhattan","108","5","1043974","1014270028","MN31","1001","126","40.76994","-73.958977"
"2080822-DCA","AT&T MOBILITY SUPPLY, LLC",,"BA-1098911-2022","Electronics Store","Premises","Active","12/19/2018","12/31/2026",,"(214) 651-3940","Complete Address","180","8TH AVE",,,,,"NEW YORK","NY","10011","Manhattan","104","3","1013963","1007690001","MN13","2000","87","40.74297","-74.000166"
"2041324-DCA","KOKOU KOKO",,"BA-1338855-2022","Ticket Seller Individual","Individual","Expired","07/28/2016","07/31/2023",,,,,,,,,,"BRONX","NY","10453",,,,,,,,,,
"2087265-DCA","YOUR WIRELESS ELMHURST LLC",,"BA-1602679-2023","Secondhand Dealer - General","Premises","Failed to Renew","06/17/2019","07/31/2025",,"5168339100","Complete Address","10","AKRON ST",,,,,"STATEN ISLAND","NY","10314","Staten Island","502","50","5104032","5015460005","SI05","4005","29104","40.61174","-74.158831"
"1106716-DCA","CANEPA, NICHOLAS","FINEST KITCHEN","BA-1237794-2022","Home Improvement Contractor","Premises","Active","06/20/2002","02/28/2027",,"6462674630","Complete Address","226","BILLIOU ST",,,,,"STATEN ISLAND","NY","10312","Staten Island","503","51","5082363","5065590136","SI01","1012","176","40.53252","-74.185792"
"2013098-DCA","HUNT B CONSTRUCTION INC",,"BA-1335055-2022","Home Improvement Contractor","Premises","Expired","09/09/2014","02/28/2023",,,"Complete Address",,"82-08",,,"UNIT",,"FLORAL PARK","NY","11004","Queens",,,,,,,,,
"2077497-1-DCA","ASIM CONVENIENCE CORP.",,"BA-1127534-2022","Electronic Cigarette Dealer","Premises","Expired","08/27/2018","11/30/2023",,"718-259-7871","Complete Address","1404","86TH ST",,,,,"BROOKLYN","NY","11228","Brooklyn","311","50","3165984","3063570029","BK27","2000","170","40.61262","-74.011533"
"2125499-DCWP","LA PITAYA DELI & GRILL INC.",,"BA-1710257-2024","Stoop Line Stand","Premises","Active","11/26/2024","03/31/2026","Product Category: Fruits, Vegetables, Soft Drinks PLUS any of these additional types of products: Flowers, Confectionery, Ice Cream or Ices; 4 foot stands: 0; 5 foot stands: 0; 5-10 foot stands: 1","9172831917","Complete Address","234","IRVING AVE",,,,,"BROOKLYN","NY","11237","Brooklyn","304","37","3075437","3033000032","BK77","1001","431","40.70044","-73.916903"
"1433897-DCA","RALPH CARNEGARY",,"BA-1439240-2022","General Vendor","Individual","Ready for Renewal","06/14/2012","09/30/2025","Vendor Type: Citywide Specialized Vendor (Yellow)",,,,,,,,,"BROOKLYN","NY","11211",,,,,,,,,,
"0888895-DCA","AVID CONSTRUCTION, INC.",,"BA-1117129-2022","Home Improvement Contractor","Premises","Active","07/17/1994","02/28/2027",,"7187276280","Complete Address","232","MORNINGSTAR RD",,,,,"STATEN ISLAND","NY","10303","Staten Island","501","49","5026608","5011530018","SI12","1001","239","40.63244","-74.146515"
"1214554-DCA","KORNAHA, MICHAEL","M.I.K. ENTERPRISES","BA-1330630-2022","Home Improvement Contractor","Premises","Active","11/15/2005","02/28/2027",,"6318840450","Complete Address","812","4TH ST",,,,,"WEST BABYLON","NY","11704","Outside NYC",,,,,,,,,
"2119073-2-DCWP","SOUND BEACH DELI INC",,"BA-1682684-2024","Tobacco Retail Dealer","Premises","Ready for Renewal","02/05/2024","12/31/2025",,"7182712888","Complete Address","9114","CORONA AVE",,,,,"ELMHURST","NY","11373","Queens","404","25","4045615","4018480003","QN29","1004","461","40.74248","-73.873178"
"2098192-DCA","HERCULES HOME IMPROVEMENT INC",,"BA-1252310-2022","Home Improvement Contractor","Premises","Active","03/26/2021","02/28/2027",,"917-578-7994","Complete Address","4558","196TH PL",,,,,"FLUSHING","NY","11358","Queens","411","19","4125128","4055400016","QN48","1008","145101","40.75455","-73.784385"
"1444097-DCA","GOLD RAIN, INC.","PAWN","BA-1340133-2022","Pawnbroker","Premises","Expired","09/07/2012","04/30/2024",,"3472407307","Complete Address","2912","GLENWOOD RD",,,,,"BROOKLYN","NY","11210","Brooklyn","314","45","3205881","3075570084","BK42","2002","786","40.63394","-73.948536"
"1225755-DCA","COX, VIBERT S & ST. JUSTE, TIMOTHY","GEMINI AUTO COLLISION","BA-1225101-2022","Secondhand Dealer - General","Premises","Active","05/03/2006","07/31/2027",,"7187630961","Complete Address","8402","FOSTER AVE",,,,,"BROOKLYN","NY","11236","Brooklyn","318","42","3222769","3079630043","BK50","1003","958","40.64246","-73.915790"
"2065861-DCA","Freedom Loan Services Corporation",,"BA-1200628-2022","Debt Collection Agency","Premises","Expired","02/08/2018","01/31/2023",,"844-685-8496","Complete Address","10500","KINCAID DR",,,"STE","111","FISHERS","IN","46037",,,,,,,,,,
"2071467-DCA","AFA Construction LLC","AFA BUILDERS LLC","BA-1046668-2022","Home Improvement Contractor","Premises","Active","05/18/2018","02/28/2027",,,"Complete Address","356","CENTRAL AVE",,,,,"WAYNE","NJ","07470",,,,,,,,,,
"2099981-DCA","TB Wireless 244 Knick Inc",,"BA-1563377-2022","Electronics Store","Premises","Expired","07/08/2021","12/31/2022",,,"Complete Address","1270","CASTLE HILL AVE",,,,,"BRONX","NY","10462","Bronx","209","18","2026929","2038230001","BX59","4000","92","40.83374","-73.851506"
"2043584-DCA","ZHONGWEI WU",,"BA-1583213-2023","Locksmith","Individual","Active","09/13/2016","10/18/2025",,,,,,,,,,"FLUSHING","NY","11355",,,,,,,,,,
"2027667-DCA","ZBIGNIEW ZAREBA","EURO HOME","BA-1524388-2022","Home Improvement Contractor","Premises","Active","08/27/2015","02/28/2027",,"347-885-3007","Complete Address","7436","64 LANE",,,"APT","1R","GLENDALE","NY","11385","Queens","405","30","4087133","4035980055","QN19","3000","577","40.70008","-73.890457"
"1376498-DCA","A T CONCEPT, INC.",,"BA-1102981-2022","Home Improvement Contractor","Premises","Active","11/09/2010","02/28/2027",,"7188526060","Complete Address","601","COURT ST",,,,,"BROOKLYN","NY","11231","Brooklyn","306","38","3008210","3004880006","BK33","1039","53","40.67167","-74.001031"
